"dates","layer","pixel","year","value"
2014-03-08,"Greenup","43_44","2014",NA
2015-03-13,"Greenup","43_44","2015",NA
2016-04-04,"Greenup","43_44","2016",NA
2017-06-07,"Greenup","43_44","2017",NA
2001-02-09,"Greenup","43_43","2001",NA
2002-03-07,"Greenup","43_43","2002",NA
2003-03-12,"Greenup","43_43","2003",NA
2004-02-28,"Greenup","43_43","2004",NA
2005-04-06,"Greenup","43_43","2005",NA
2006-03-28,"Greenup","43_43","2006",NA
2007-03-19,"Greenup","43_43","2007",NA
2008-03-12,"Greenup","43_43","2008",NA
2009-03-11,"Greenup","43_43","2009",NA
2010-04-09,"Greenup","43_43","2010",NA
2011-02-28,"Greenup","43_43","2011",NA
2012-03-19,"Greenup","43_43","2012",NA
2013-04-03,"Greenup","43_43","2013",NA
2014-03-07,"Greenup","43_43","2014",NA
2015-03-12,"Greenup","43_43","2015",NA
2016-04-09,"Greenup","43_43","2016",NA
2017-03-24,"Greenup","43_43","2017",NA
2001-02-13,"Greenup","45_43","2001",NA
2002-03-18,"Greenup","45_43","2002",NA
2003-03-12,"Greenup","45_43","2003",NA
2004-02-29,"Greenup","45_43","2004",NA
NA,"Greenup","45_43","2005",NA
2006-05-11,"Greenup","45_43","2006",NA
2007-04-01,"Greenup","45_43","2007",NA
NA,"Greenup","45_43","2008",NA
2009-03-13,"Greenup","45_43","2009",NA
2010-04-04,"Greenup","45_43","2010",NA
2011-03-19,"Greenup","45_43","2011",NA
2012-04-02,"Greenup","45_43","2012",NA
2013-04-07,"Greenup","45_43","2013",NA
2014-03-25,"Greenup","45_43","2014",NA
2015-03-17,"Greenup","45_43","2015",NA
2016-04-14,"Greenup","45_43","2016",NA
2017-06-07,"Greenup","45_43","2017",NA
2001-02-13,"Greenup","45_44","2001",NA
2002-03-18,"Greenup","45_44","2002",NA
2003-03-12,"Greenup","45_44","2003",NA
2004-02-29,"Greenup","45_44","2004",NA
NA,"Greenup","45_44","2005",NA
2006-05-11,"Greenup","45_44","2006",NA
2007-04-01,"Greenup","45_44","2007",NA
NA,"Greenup","45_44","2008",NA
2009-03-13,"Greenup","45_44","2009",NA
2010-04-04,"Greenup","45_44","2010",NA
2011-03-19,"Greenup","45_44","2011",NA
2012-04-02,"Greenup","45_44","2012",NA
2013-04-07,"Greenup","45_44","2013",NA
2014-03-25,"Greenup","45_44","2014",NA
2015-03-17,"Greenup","45_44","2015",NA
2016-04-14,"Greenup","45_44","2016",NA
2017-06-07,"Greenup","45_44","2017",NA
2001-02-16,"Greenup","45_45","2001",NA
2002-03-16,"Greenup","45_45","2002",NA
2003-03-13,"Greenup","45_45","2003",NA
2004-02-28,"Greenup","45_45","2004",NA
NA,"Greenup","45_45","2005",NA
2006-03-23,"Greenup","45_45","2006",NA
2007-04-01,"Greenup","45_45","2007",NA
2008-07-21,"Greenup","45_45","2008",NA
2009-03-20,"Greenup","45_45","2009",NA
2010-04-04,"Greenup","45_45","2010",NA
NA,"Greenup","45_45","2011",NA
2012-03-14,"Greenup","45_45","2012",NA
2013-03-31,"Greenup","45_45","2013",NA
2014-03-18,"Greenup","45_45","2014",NA
NA,"Greenup","45_45","2015",NA
2016-04-02,"Greenup","45_45","2016",NA
2017-05-25,"Greenup","45_45","2017",NA
2002-01-01,"Dormancy","44_43","2001",NA
2002-11-22,"Dormancy","44_43","2002",NA
2003-12-29,"Dormancy","44_43","2003",NA
2005-01-01,"Dormancy","44_43","2004",NA
NA,"Dormancy","44_43","2005",NA
2007-01-31,"Dormancy","44_43","2006",NA
2007-12-09,"Dormancy","44_43","2007",NA
NA,"Dormancy","44_43","2008",NA
2010-01-07,"Dormancy","44_43","2009",NA
2010-12-26,"Dormancy","44_43","2010",NA
2012-01-06,"Dormancy","44_43","2011",NA
2012-12-27,"Dormancy","44_43","2012",NA
2014-01-10,"Dormancy","44_43","2013",NA
2015-01-16,"Dormancy","44_43","2014",NA
2016-01-21,"Dormancy","44_43","2015",NA
2016-12-01,"Dormancy","44_43","2016",NA
2018-01-09,"Dormancy","44_43","2017",NA
2001-12-28,"Dormancy","44_44","2001",NA
2002-12-01,"Dormancy","44_44","2002",NA
2003-12-30,"Dormancy","44_44","2003",NA
2004-12-26,"Dormancy","44_44","2004",NA
NA,"Dormancy","44_44","2005",NA
2006-11-18,"Dormancy","44_44","2006",NA
2007-12-01,"Dormancy","44_44","2007",NA
2009-01-16,"Dormancy","44_44","2008",NA
2009-12-29,"Dormancy","44_44","2009",NA
2010-11-29,"Dormancy","44_44","2010",NA
NA,"Dormancy","44_44","2011",NA
2012-12-10,"Dormancy","44_44","2012",NA
2014-01-16,"Dormancy","44_44","2013",NA
2014-12-22,"Dormancy","44_44","2014",NA
NA,"Dormancy","44_44","2015",NA
2017-01-07,"Dormancy","44_44","2016",NA
2017-12-22,"Dormancy","44_44","2017",NA
2001-12-28,"Dormancy","44_45","2001",NA
2002-12-01,"Dormancy","44_45","2002",NA
2003-12-30,"Dormancy","44_45","2003",NA
2004-12-26,"Dormancy","44_45","2004",NA
NA,"Dormancy","44_45","2005",NA
2006-11-18,"Dormancy","44_45","2006",NA
2007-12-01,"Dormancy","44_45","2007",NA
2009-01-16,"Dormancy","44_45","2008",NA
2009-12-29,"Dormancy","44_45","2009",NA
2010-11-29,"Dormancy","44_45","2010",NA
NA,"Dormancy","44_45","2011",NA
2012-12-10,"Dormancy","44_45","2012",NA
2014-01-16,"Dormancy","44_45","2013",NA
2014-12-22,"Dormancy","44_45","2014",NA
NA,"Dormancy","44_45","2015",NA
2017-01-07,"Dormancy","44_45","2016",NA
2017-12-22,"Dormancy","44_45","2017",NA
2002-01-07,"Dormancy","43_45","2001",NA
2002-12-28,"Dormancy","43_45","2002",NA
2003-12-15,"Dormancy","43_45","2003",NA
2004-12-28,"Dormancy","43_45","2004",NA
2006-01-01,"Dormancy","43_45","2005",NA
2007-01-25,"Dormancy","43_45","2006",NA
2007-12-08,"Dormancy","43_45","2007",NA
2009-01-17,"Dormancy","43_45","2008",NA
2010-01-03,"Dormancy","43_45","2009",NA
2010-12-20,"Dormancy","43_45","2010",NA
NA,"Dormancy","43_45","2011",NA
2012-12-22,"Dormancy","43_45","2012",NA
2013-12-29,"Dormancy","43_45","2013",NA
2014-12-12,"Dormancy","43_45","2014",NA
2015-12-07,"Dormancy","43_45","2015",NA
2016-12-05,"Dormancy","43_45","2016",NA
2017-12-27,"Dormancy","43_45","2017",NA
2002-01-07,"Dormancy","43_44","2001",NA
2002-12-28,"Dormancy","43_44","2002",NA
2003-12-15,"Dormancy","43_44","2003",NA
2004-12-28,"Dormancy","43_44","2004",NA
2006-01-01,"Dormancy","43_44","2005",NA
2007-01-25,"Dormancy","43_44","2006",NA
2007-12-08,"Dormancy","43_44","2007",NA
2009-01-17,"Dormancy","43_44","2008",NA
2010-01-03,"Dormancy","43_44","2009",NA
2010-12-20,"Dormancy","43_44","2010",NA
NA,"Dormancy","43_44","2011",NA
2012-12-22,"Dormancy","43_44","2012",NA
2013-12-29,"Dormancy","43_44","2013",NA
2014-12-12,"Dormancy","43_44","2014",NA
2015-12-07,"Dormancy","43_44","2015",NA
2016-12-05,"Dormancy","43_44","2016",NA
2017-12-27,"Dormancy","43_44","2017",NA
2001-12-30,"Dormancy","43_43","2001",NA
2002-12-27,"Dormancy","43_43","2002",NA
2003-12-18,"Dormancy","43_43","2003",NA
2004-12-13,"Dormancy","43_43","2004",NA
2006-01-06,"Dormancy","43_43","2005",NA
2007-01-13,"Dormancy","43_43","2006",NA
2007-12-03,"Dormancy","43_43","2007",NA
2009-01-09,"Dormancy","43_43","2008",NA
2009-12-31,"Dormancy","43_43","2009",NA
2010-12-28,"Dormancy","43_43","2010",NA
2012-01-02,"Dormancy","43_43","2011",NA
2012-12-15,"Dormancy","43_43","2012",NA
2014-01-11,"Dormancy","43_43","2013",NA
2014-12-07,"Dormancy","43_43","2014",NA
2016-01-19,"Dormancy","43_43","2015",NA
2016-11-23,"Dormancy","43_43","2016",NA
2017-12-28,"Dormancy","43_43","2017",NA
2002-01-01,"Dormancy","45_43","2001",NA
2002-11-22,"Dormancy","45_43","2002",NA
2003-12-29,"Dormancy","45_43","2003",NA
2005-01-01,"Dormancy","45_43","2004",NA
NA,"Dormancy","45_43","2005",NA
2007-01-31,"Dormancy","45_43","2006",NA
2007-12-09,"Dormancy","45_43","2007",NA
NA,"Dormancy","45_43","2008",NA
2010-01-07,"Dormancy","45_43","2009",NA
2010-12-26,"Dormancy","45_43","2010",NA
2012-01-06,"Dormancy","45_43","2011",NA
2012-12-27,"Dormancy","45_43","2012",NA
2014-01-10,"Dormancy","45_43","2013",NA
2015-01-16,"Dormancy","45_43","2014",NA
2016-01-21,"Dormancy","45_43","2015",NA
2016-12-01,"Dormancy","45_43","2016",NA
2018-01-09,"Dormancy","45_43","2017",NA
2002-01-01,"Dormancy","45_44","2001",NA
2002-11-22,"Dormancy","45_44","2002",NA
2003-12-29,"Dormancy","45_44","2003",NA
2005-01-01,"Dormancy","45_44","2004",NA
NA,"Dormancy","45_44","2005",NA
2007-01-31,"Dormancy","45_44","2006",NA
2007-12-09,"Dormancy","45_44","2007",NA
NA,"Dormancy","45_44","2008",NA
2010-01-07,"Dormancy","45_44","2009",NA
2010-12-26,"Dormancy","45_44","2010",NA
2012-01-06,"Dormancy","45_44","2011",NA
2012-12-27,"Dormancy","45_44","2012",NA
2014-01-10,"Dormancy","45_44","2013",NA
2015-01-16,"Dormancy","45_44","2014",NA
2016-01-21,"Dormancy","45_44","2015",NA
2016-12-01,"Dormancy","45_44","2016",NA
2018-01-09,"Dormancy","45_44","2017",NA
2001-12-28,"Dormancy","45_45","2001",NA
2002-12-01,"Dormancy","45_45","2002",NA
2003-12-30,"Dormancy","45_45","2003",NA
2004-12-26,"Dormancy","45_45","2004",NA
NA,"Dormancy","45_45","2005",NA
2006-11-18,"Dormancy","45_45","2006",NA
2007-12-01,"Dormancy","45_45","2007",NA
2009-01-16,"Dormancy","45_45","2008",NA
2009-12-29,"Dormancy","45_45","2009",NA
2010-11-29,"Dormancy","45_45","2010",NA
NA,"Dormancy","45_45","2011",NA
2012-12-10,"Dormancy","45_45","2012",NA
2014-01-16,"Dormancy","45_45","2013",NA
2014-12-22,"Dormancy","45_45","2014",NA
NA,"Dormancy","45_45","2015",NA
2017-01-07,"Dormancy","45_45","2016",NA
2017-12-22,"Dormancy","45_45","2017",NA
2001-04-30,"Maturity","44_43","2001",NA
2002-08-03,"Maturity","44_43","2002",NA
2003-07-14,"Maturity","44_43","2003",NA
2004-06-27,"Maturity","44_43","2004",NA
NA,"Maturity","44_43","2005",NA
2006-09-18,"Maturity","44_43","2006",NA
2007-06-24,"Maturity","44_43","2007",NA
NA,"Maturity","44_43","2008",NA
2009-07-04,"Maturity","44_43","2009",NA
2010-08-17,"Maturity","44_43","2010",NA
2011-05-16,"Maturity","44_43","2011",NA
2012-08-04,"Maturity","44_43","2012",NA
2013-08-02,"Maturity","44_43","2013",NA
2014-08-23,"Maturity","44_43","2014",NA
2015-04-26,"Maturity","44_43","2015",NA
2016-08-07,"Maturity","44_43","2016",NA
2017-07-21,"Maturity","44_43","2017",NA
2001-04-18,"Maturity","44_44","2001",NA
2002-06-20,"Maturity","44_44","2002",NA
2003-07-01,"Maturity","44_44","2003",NA
2004-06-17,"Maturity","44_44","2004",NA
NA,"Maturity","44_44","2005",NA
2006-06-21,"Maturity","44_44","2006",NA
2007-06-05,"Maturity","44_44","2007",NA
2008-09-07,"Maturity","44_44","2008",NA
2009-07-01,"Maturity","44_44","2009",NA
2010-05-20,"Maturity","44_44","2010",NA
NA,"Maturity","44_44","2011",NA
2012-06-06,"Maturity","44_44","2012",NA
2013-07-28,"Maturity","44_44","2013",NA
2014-08-18,"Maturity","44_44","2014",NA
NA,"Maturity","44_44","2015",NA
2016-08-20,"Maturity","44_44","2016",NA
2017-09-29,"Maturity","44_44","2017",NA
2001-04-18,"Maturity","44_45","2001",NA
2002-06-20,"Maturity","44_45","2002",NA
2003-07-01,"Maturity","44_45","2003",NA
2004-06-17,"Maturity","44_45","2004",NA
NA,"Maturity","44_45","2005",NA
2006-06-21,"Maturity","44_45","2006",NA
2007-06-05,"Maturity","44_45","2007",NA
2008-09-07,"Maturity","44_45","2008",NA
2009-07-01,"Maturity","44_45","2009",NA
2010-05-20,"Maturity","44_45","2010",NA
NA,"Maturity","44_45","2011",NA
2012-06-06,"Maturity","44_45","2012",NA
2013-07-28,"Maturity","44_45","2013",NA
2014-08-18,"Maturity","44_45","2014",NA
NA,"Maturity","44_45","2015",NA
2016-08-20,"Maturity","44_45","2016",NA
2017-09-29,"Maturity","44_45","2017",NA
2001-04-16,"Maturity","43_45","2001",NA
2002-05-29,"Maturity","43_45","2002",NA
2003-06-23,"Maturity","43_45","2003",NA
2004-06-26,"Maturity","43_45","2004",NA
2005-09-24,"Maturity","43_45","2005",NA
2006-08-19,"Maturity","43_45","2006",NA
2007-06-14,"Maturity","43_45","2007",NA
2008-07-16,"Maturity","43_45","2008",NA
2009-07-13,"Maturity","43_45","2009",NA
2010-08-07,"Maturity","43_45","2010",NA
NA,"Maturity","43_45","2011",NA
2012-07-16,"Maturity","43_45","2012",NA
2013-08-23,"Maturity","43_45","2013",NA
2014-07-03,"Maturity","43_45","2014",NA
2015-05-18,"Maturity","43_45","2015",NA
2016-08-17,"Maturity","43_45","2016",NA
2017-07-10,"Maturity","43_45","2017",NA
2001-04-16,"Maturity","43_44","2001",NA
2002-05-29,"Maturity","43_44","2002",NA
2003-06-23,"Maturity","43_44","2003",NA
2004-06-26,"Maturity","43_44","2004",NA
2005-09-24,"Maturity","43_44","2005",NA
2006-08-19,"Maturity","43_44","2006",NA
2007-06-14,"Maturity","43_44","2007",NA
2008-07-16,"Maturity","43_44","2008",NA
2009-07-13,"Maturity","43_44","2009",NA
2010-08-07,"Maturity","43_44","2010",NA
NA,"Maturity","43_44","2011",NA
2012-07-16,"Maturity","43_44","2012",NA
2013-08-23,"Maturity","43_44","2013",NA
2014-07-03,"Maturity","43_44","2014",NA
2015-05-18,"Maturity","43_44","2015",NA
2016-08-17,"Maturity","43_44","2016",NA
2017-07-10,"Maturity","43_44","2017",NA
2001-04-22,"Maturity","43_43","2001",NA
2002-05-19,"Maturity","43_43","2002",NA
2003-06-14,"Maturity","43_43","2003",NA
2004-06-28,"Maturity","43_43","2004",NA
2005-09-11,"Maturity","43_43","2005",NA
2006-08-26,"Maturity","43_43","2006",NA
2007-06-20,"Maturity","43_43","2007",NA
2008-07-15,"Maturity","43_43","2008",NA
2009-06-20,"Maturity","43_43","2009",NA
2010-08-18,"Maturity","43_43","2010",NA
2011-05-10,"Maturity","43_43","2011",NA
2012-07-14,"Maturity","43_43","2012",NA
2013-08-17,"Maturity","43_43","2013",NA
2014-05-12,"Maturity","43_43","2014",NA
2015-07-17,"Maturity","43_43","2015",NA
2016-08-04,"Maturity","43_43","2016",NA
2017-07-09,"Maturity","43_43","2017",NA
2001-04-30,"Maturity","45_43","2001",NA
2002-08-03,"Maturity","45_43","2002",NA
2003-07-14,"Maturity","45_43","2003",NA
2004-06-27,"Maturity","45_43","2004",NA
NA,"Maturity","45_43","2005",NA
2006-09-18,"Maturity","45_43","2006",NA
2007-06-24,"Maturity","45_43","2007",NA
NA,"Maturity","45_43","2008",NA
2009-07-04,"Maturity","45_43","2009",NA
2010-08-17,"Maturity","45_43","2010",NA
2011-05-16,"Maturity","45_43","2011",NA
2012-08-04,"Maturity","45_43","2012",NA
2013-08-02,"Maturity","45_43","2013",NA
2014-08-23,"Maturity","45_43","2014",NA
2015-04-26,"Maturity","45_43","2015",NA
2016-08-07,"Maturity","45_43","2016",NA
2017-07-21,"Maturity","45_43","2017",NA
2001-04-30,"Maturity","45_44","2001",NA
2002-08-03,"Maturity","45_44","2002",NA
2003-07-14,"Maturity","45_44","2003",NA
2004-06-27,"Maturity","45_44","2004",NA
NA,"Maturity","45_44","2005",NA
2006-09-18,"Maturity","45_44","2006",NA
2007-06-24,"Maturity","45_44","2007",NA
NA,"Maturity","45_44","2008",NA
2009-07-04,"Maturity","45_44","2009",NA
2010-08-17,"Maturity","45_44","2010",NA
2011-05-16,"Maturity","45_44","2011",NA
2012-08-04,"Maturity","45_44","2012",NA
2013-08-02,"Maturity","45_44","2013",NA
2014-08-23,"Maturity","45_44","2014",NA
2015-04-26,"Maturity","45_44","2015",NA
2016-08-07,"Maturity","45_44","2016",NA
2017-07-21,"Maturity","45_44","2017",NA
2001-04-18,"Maturity","45_45","2001",NA
2002-06-20,"Maturity","45_45","2002",NA
2003-07-01,"Maturity","45_45","2003",NA
2004-06-17,"Maturity","45_45","2004",NA
NA,"Maturity","45_45","2005",NA
2006-06-21,"Maturity","45_45","2006",NA
2007-06-05,"Maturity","45_45","2007",NA
2008-09-07,"Maturity","45_45","2008",NA
2009-07-01,"Maturity","45_45","2009",NA
2010-05-20,"Maturity","45_45","2010",NA
NA,"Maturity","45_45","2011",NA
2012-06-06,"Maturity","45_45","2012",NA
2013-07-28,"Maturity","45_45","2013",NA
2014-08-18,"Maturity","45_45","2014",NA
NA,"Maturity","45_45","2015",NA
2016-08-20,"Maturity","45_45","2016",NA
2017-09-29,"Maturity","45_45","2017",NA
2001-10-08,"MidGreendown","44_43","2001",NA
2002-10-10,"MidGreendown","44_43","2002",NA
2003-11-09,"MidGreendown","44_43","2003",NA
2004-08-27,"MidGreendown","44_43","2004",NA
NA,"MidGreendown","44_43","2005",NA
2006-11-05,"MidGreendown","44_43","2006",NA
2007-10-29,"MidGreendown","44_43","2007",NA
NA,"MidGreendown","44_43","2008",NA
2009-12-03,"MidGreendown","44_43","2009",NA
2010-11-27,"MidGreendown","44_43","2010",NA
2011-11-20,"MidGreendown","44_43","2011",NA
2012-11-30,"MidGreendown","44_43","2012",NA
2013-10-24,"MidGreendown","44_43","2013",NA
2014-11-13,"MidGreendown","44_43","2014",NA
2015-11-25,"MidGreendown","44_43","2015",NA
2016-10-24,"MidGreendown","44_43","2016",NA
2017-11-13,"MidGreendown","44_43","2017",NA
2001-10-20,"MidGreendown","44_44","2001",NA
2002-10-18,"MidGreendown","44_44","2002",NA
2003-10-29,"MidGreendown","44_44","2003",NA
2004-11-10,"MidGreendown","44_44","2004",NA
NA,"MidGreendown","44_44","2005",NA
2006-10-18,"MidGreendown","44_44","2006",NA
2007-09-11,"MidGreendown","44_44","2007",NA
2008-12-05,"MidGreendown","44_44","2008",NA
2009-11-22,"MidGreendown","44_44","2009",NA
2010-10-29,"MidGreendown","44_44","2010",NA
NA,"MidGreendown","44_44","2011",NA
2012-11-03,"MidGreendown","44_44","2012",NA
2013-11-15,"MidGreendown","44_44","2013",NA
2014-11-05,"MidGreendown","44_44","2014",NA
NA,"MidGreendown","44_44","2015",NA
2016-11-13,"MidGreendown","44_44","2016",NA
2017-11-06,"MidGreendown","44_44","2017",NA
2001-10-20,"MidGreendown","44_45","2001",NA
2002-10-18,"MidGreendown","44_45","2002",NA
2003-10-29,"MidGreendown","44_45","2003",NA
2004-11-10,"MidGreendown","44_45","2004",NA
NA,"MidGreendown","44_45","2005",NA
2006-10-18,"MidGreendown","44_45","2006",NA
2007-09-11,"MidGreendown","44_45","2007",NA
2008-12-05,"MidGreendown","44_45","2008",NA
2009-11-22,"MidGreendown","44_45","2009",NA
2010-10-29,"MidGreendown","44_45","2010",NA
NA,"MidGreendown","44_45","2011",NA
2012-11-03,"MidGreendown","44_45","2012",NA
2013-11-15,"MidGreendown","44_45","2013",NA
2014-11-05,"MidGreendown","44_45","2014",NA
NA,"MidGreendown","44_45","2015",NA
2016-11-13,"MidGreendown","44_45","2016",NA
2017-11-06,"MidGreendown","44_45","2017",NA
2001-11-03,"MidGreendown","43_45","2001",NA
2002-11-09,"MidGreendown","43_45","2002",NA
2003-10-07,"MidGreendown","43_45","2003",NA
2004-11-03,"MidGreendown","43_45","2004",NA
2005-12-11,"MidGreendown","43_45","2005",NA
2006-11-07,"MidGreendown","43_45","2006",NA
2007-08-29,"MidGreendown","43_45","2007",NA
2008-12-07,"MidGreendown","43_45","2008",NA
2009-12-08,"MidGreendown","43_45","2009",NA
2010-11-20,"MidGreendown","43_45","2010",NA
NA,"MidGreendown","43_45","2011",NA
2012-11-13,"MidGreendown","43_45","2012",NA
2013-11-06,"MidGreendown","43_45","2013",NA
2014-11-05,"MidGreendown","43_45","2014",NA
2015-11-14,"MidGreendown","43_45","2015",NA
2016-11-02,"MidGreendown","43_45","2016",NA
2017-10-30,"MidGreendown","43_45","2017",NA
2001-11-03,"MidGreendown","43_44","2001",NA
2002-11-09,"MidGreendown","43_44","2002",NA
2003-10-07,"MidGreendown","43_44","2003",NA
2004-11-03,"MidGreendown","43_44","2004",NA
2005-12-11,"MidGreendown","43_44","2005",NA
2006-11-07,"MidGreendown","43_44","2006",NA
2007-08-29,"MidGreendown","43_44","2007",NA
2008-12-07,"MidGreendown","43_44","2008",NA
2009-12-08,"MidGreendown","43_44","2009",NA
2010-11-20,"MidGreendown","43_44","2010",NA
NA,"MidGreendown","43_44","2011",NA
2012-11-13,"MidGreendown","43_44","2012",NA
2013-11-06,"MidGreendown","43_44","2013",NA
2014-11-05,"MidGreendown","43_44","2014",NA
2015-11-14,"MidGreendown","43_44","2015",NA
2016-11-02,"MidGreendown","43_44","2016",NA
2017-10-30,"MidGreendown","43_44","2017",NA
2001-11-01,"MidGreendown","43_43","2001",NA
2002-10-26,"MidGreendown","43_43","2002",NA
2003-10-16,"MidGreendown","43_43","2003",NA
2004-08-30,"MidGreendown","43_43","2004",NA
2005-12-06,"MidGreendown","43_43","2005",NA
2006-11-04,"MidGreendown","43_43","2006",NA
2007-10-19,"MidGreendown","43_43","2007",NA
2008-11-14,"MidGreendown","43_43","2008",NA
2009-12-02,"MidGreendown","43_43","2009",NA
2010-11-30,"MidGreendown","43_43","2010",NA
2011-11-05,"MidGreendown","43_43","2011",NA
2012-11-01,"MidGreendown","43_43","2012",NA
2013-11-05,"MidGreendown","43_43","2013",NA
2014-10-31,"MidGreendown","43_43","2014",NA
2015-10-26,"MidGreendown","43_43","2015",NA
2016-10-21,"MidGreendown","43_43","2016",NA
2017-11-05,"MidGreendown","43_43","2017",NA
2001-10-08,"MidGreendown","45_43","2001",NA
2002-10-10,"MidGreendown","45_43","2002",NA
2003-11-09,"MidGreendown","45_43","2003",NA
2004-08-27,"MidGreendown","45_43","2004",NA
NA,"MidGreendown","45_43","2005",NA
2006-11-05,"MidGreendown","45_43","2006",NA
2007-10-29,"MidGreendown","45_43","2007",NA
NA,"MidGreendown","45_43","2008",NA
2009-12-03,"MidGreendown","45_43","2009",NA
2010-11-27,"MidGreendown","45_43","2010",NA
2011-11-20,"MidGreendown","45_43","2011",NA
2012-11-30,"MidGreendown","45_43","2012",NA
2013-10-24,"MidGreendown","45_43","2013",NA
2014-11-13,"MidGreendown","45_43","2014",NA
2015-11-25,"MidGreendown","45_43","2015",NA
2016-10-24,"MidGreendown","45_43","2016",NA
2017-11-13,"MidGreendown","45_43","2017",NA
2001-10-08,"MidGreendown","45_44","2001",NA
2002-10-10,"MidGreendown","45_44","2002",NA
2003-11-09,"MidGreendown","45_44","2003",NA
2004-08-27,"MidGreendown","45_44","2004",NA
NA,"MidGreendown","45_44","2005",NA
2006-11-05,"MidGreendown","45_44","2006",NA
2007-10-29,"MidGreendown","45_44","2007",NA
NA,"MidGreendown","45_44","2008",NA
2009-12-03,"MidGreendown","45_44","2009",NA
2010-11-27,"MidGreendown","45_44","2010",NA
2011-11-20,"MidGreendown","45_44","2011",NA
2012-11-30,"MidGreendown","45_44","2012",NA
2013-10-24,"MidGreendown","45_44","2013",NA
2014-11-13,"MidGreendown","45_44","2014",NA
2015-11-25,"MidGreendown","45_44","2015",NA
2016-10-24,"MidGreendown","45_44","2016",NA
2017-11-13,"MidGreendown","45_44","2017",NA
2001-10-20,"MidGreendown","45_45","2001",NA
2002-10-18,"MidGreendown","45_45","2002",NA
2003-10-29,"MidGreendown","45_45","2003",NA
2004-11-10,"MidGreendown","45_45","2004",NA
