site,year,pixelline,pixelsample,pixloc,Onset_Greenness_Increase_1,Onset_Greenness_Maximum_1,Onset_Greenness_Decrease_1,Onset_Greenness_Minimum_1,Date_Mid_Greenup_Phase_1,Date_Mid_Senescence_Phase_1,Onset_Greenness_Increase_2,Onset_Greenness_Maximum_2,Onset_Greenness_Decrease_2,Onset_Greenness_Minimum_2,Date_Mid_Greenup_Phase_2,Date_Mid_Senescence_Phase_2
ONAQ,2016,2357,978,2347157,72,146,214,300,109,257,NaN,NaN,NaN,NaN,NaN,NaN
ONAQ,2017,2357,978,2347157,93,136,215,300,115,257,NaN,NaN,NaN,NaN,NaN,NaN
ONAQ,2018,2357,978,2347157,85,140,193,312,112,252,NaN,NaN,NaN,NaN,NaN,NaN
ONAQ,2019,2357,978,2347157,92,152,193,274,122,233,NaN,NaN,NaN,NaN,NaN,NaN
ONAQ,2013,2357,979,2349557,99,146,229,292,123,260,NaN,NaN,NaN,NaN,NaN,NaN
ONAQ,2014,2357,979,2349557,70,156,231,333,122,282,NaN,NaN,NaN,NaN,NaN,NaN
ONAQ,2015,2357,979,2349557,22,167,201,283,95,242,NaN,NaN,NaN,NaN,NaN,NaN
ONAQ,2016,2357,979,2349557,82,140,215,290,111,252,NaN,NaN,NaN,NaN,NaN,NaN
ONAQ,2017,2357,979,2349557,99,147,231,309,123,270,NaN,NaN,NaN,NaN,NaN,NaN
ONAQ,2018,2357,979,2349557,108,151,195,266,129,231,NaN,NaN,NaN,NaN,NaN,NaN
ONAQ,2019,2357,979,2349557,94,124,216,281,109,249,NaN,NaN,NaN,NaN,NaN,NaN
