"siteName","sciName","plotType","year","first_yes_sample_size","last_yes_sample_size","phenophase_description","mean_first_yes_doy","mean_last_yes_doy","firstYesDate","lastYesDate"
"DSNY","Euthamia graminifolia"," primary",2017,5,5,"Initial growth (forbs)",209,209,2017-07-28,2017-07-28
"DSNY","Euthamia graminifolia"," primary",2018,2,2,"Initial growth (forbs)",101,101,2018-04-11,2018-04-11
"DSNY","Euthamia graminifolia"," primary",2019,4,4,"Initial growth (forbs)",137,137,2019-05-17,2019-05-17
"HARV","Acer rubrum"," primary",2014,30,30,"Breaking leaf buds",123,135,2014-05-03,2014-05-15
"HARV","Acer rubrum"," primary",2015,30,30,"Breaking leaf buds",123,129,2015-05-03,2015-05-09
"HARV","Acer rubrum"," primary",2016,30,30,"Breaking leaf buds",115,134,2016-04-24,2016-05-13
"HARV","Acer rubrum"," primary",2017,30,30,"Breaking leaf buds",115,129,2017-04-25,2017-05-09
"HARV","Acer rubrum"," primary",2018,30,30,"Breaking leaf buds",123,129,2018-05-03,2018-05-09
"HARV","Acer rubrum"," primary",2019,30,30,"Breaking leaf buds",114,132,2019-04-24,2019-05-12
"HARV","Acer rubrum"," phenocam",2019,2,2,"Breaking leaf buds",117,136,2019-04-27,2019-05-16
"HARV","Aralia nudicaulis"," primary",2014,26,31,"Initial growth (forbs)",120,134,2014-04-30,2014-05-14
"HARV","Aralia nudicaulis"," primary",2015,25,24,"Initial growth (forbs)",122,129,2015-05-02,2015-05-09
"HARV","Aralia nudicaulis"," primary",2016,26,26,"Initial growth (forbs)",118,132,2016-04-27,2016-05-11
"HARV","Aralia nudicaulis"," primary",2017,15,28,"Initial growth (forbs)",115,131,2017-04-25,2017-05-11
"HARV","Aralia nudicaulis"," primary",2018,27,27,"Initial growth (forbs)",125,130,2018-05-05,2018-05-10
"HARV","Aralia nudicaulis"," primary",2019,28,28,"Initial growth (forbs)",117,132,2019-04-27,2019-05-12
"HARV","Quercus rubra"," primary",2014,29,29,"Breaking leaf buds",126,135,2014-05-06,2014-05-15
"HARV","Quercus rubra"," primary",2015,28,28,"Breaking leaf buds",125,127,2015-05-05,2015-05-07
"HARV","Quercus rubra"," primary",2016,30,30,"Breaking leaf buds",113,135,2016-04-22,2016-05-14
"HARV","Quercus rubra"," primary",2017,30,30,"Breaking leaf buds",118,134,2017-04-28,2017-05-14
"HARV","Quercus rubra"," primary",2018,30,30,"Breaking leaf buds",124,131,2018-05-04,2018-05-11
"HARV","Quercus rubra"," primary",2019,30,30,"Breaking leaf buds",122,130,2019-05-02,2019-05-10
"HARV","Quercus rubra"," phenocam",2019,4,4,"Breaking leaf buds",122,134,2019-05-02,2019-05-14
"ONAQ","Bromus tectorum"," primary",2014,3,27,"Initial growth (grasses/sedges)",286,274,2014-10-13,2014-10-01
"ONAQ","Bromus tectorum"," primary",2015,30,30,"Initial growth (grasses/sedges)",303,305,2015-10-30,2015-11-01
"ONAQ","Bromus tectorum"," primary",2016,31,30,"Initial growth (grasses/sedges)",95,132,2016-04-04,2016-05-11
"ONAQ","Bromus tectorum"," primary",2017,30,30,"Initial growth (grasses/sedges)",72,165,2017-03-13,2017-06-14
"ONAQ","Bromus tectorum"," phenocam",2017,1,1,"Initial growth (grasses/sedges)",305,305,2017-11-01,2017-11-01
"ONAQ","Bromus tectorum"," primary",2018,25,27,"Initial growth (grasses/sedges)",68,181,2018-03-09,2018-06-30
"ONAQ","Bromus tectorum"," phenocam",2018,3,3,"Initial growth (grasses/sedges)",82,304,2018-03-23,2018-10-31
"ONAQ","Bromus tectorum"," primary",2019,13,24,"Initial growth (grasses/sedges)",103,93,2019-04-13,2019-04-03
"ONAQ","Ranunculus testiculatus"," primary",2016,30,30,"Initial growth (forbs)",95,104,2016-04-04,2016-04-13
"ONAQ","Ranunculus testiculatus"," primary",2017,8,30,"Initial growth (forbs)",93,82,2017-04-03,2017-03-23
"ONAQ","Ranunculus testiculatus"," primary",2018,29,30,"Initial growth (forbs)",73,95,2018-03-14,2018-04-05
"ONAQ","Ranunculus testiculatus"," phenocam",2018,3,3,"Initial growth (forbs)",62,96,2018-03-03,2018-04-06
"ONAQ","Ranunculus testiculatus"," primary",2019,8,30,"Initial growth (forbs)",96,89,2019-04-06,2019-03-30
"ONAQ","Ranunculus testiculatus"," phenocam",2019,1,3,"Initial growth (forbs)",95,89,2019-04-05,2019-03-30
"OSBS","Aristida stricta"," primary",2014,18,18,"Initial growth (grasses/sedges)",143,189,2014-05-23,2014-07-08
"OSBS","Aristida stricta"," primary",2015,30,30,"Initial growth (grasses/sedges)",66,137,2015-03-07,2015-05-17
"OSBS","Aristida stricta"," primary",2016,29,29,"Initial growth (grasses/sedges)",100,191,2016-04-09,2016-07-09
"OSBS","Aristida stricta"," primary",2017,14,14,"Initial growth (grasses/sedges)",135,153,2017-05-15,2017-06-02
"OSBS","Aristida stricta"," primary",2018,30,30,"Initial growth (grasses/sedges)",67,196,2018-03-08,2018-07-15
"OSBS","Aristida stricta"," primary",2019,30,26,"Initial growth (grasses/sedges)",46,71,2019-02-15,2019-03-12
"OSBS","Pinus palustris"," primary",2013,3,3,"Emerging needles (pines)",294,294,2013-10-21,2013-10-21
"OSBS","Pinus palustris"," primary",2014,30,30,"Emerging needles (pines)",83,206,2014-03-24,2014-07-25
"OSBS","Pinus palustris"," primary",2015,30,30,"Emerging needles (pines)",75,171,2015-03-16,2015-06-20
"OSBS","Pinus palustris"," primary",2016,31,31,"Emerging needles (pines)",92,196,2016-04-01,2016-07-14
"OSBS","Pinus palustris"," primary",2017,30,30,"Emerging needles (pines)",91,139,2017-04-01,2017-05-19
"OSBS","Pinus palustris"," primary",2018,30,30,"Emerging needles (pines)",81,149,2018-03-22,2018-05-29
"OSBS","Pinus palustris"," primary",2019,30,12,"Emerging needles (pines)",79,90,2019-03-20,2019-03-31
"OSBS","Quercus laevis"," primary",2014,30,30,"Breaking leaf buds",62,147,2014-03-03,2014-05-27
"OSBS","Quercus laevis"," primary",2015,30,30,"Breaking leaf buds",66,122,2015-03-07,2015-05-02
"OSBS","Quercus laevis"," primary",2016,30,30,"Breaking leaf buds",67,154,2016-03-07,2016-06-02
"OSBS","Quercus laevis"," primary",2017,23,30,"Breaking leaf buds",82,96,2017-03-23,2017-04-06
"OSBS","Quercus laevis"," primary",2018,26,26,"Breaking leaf buds",63,81,2018-03-04,2018-03-22
"OSBS","Quercus laevis"," primary",2019,30,30,"Breaking leaf buds",58,91,2019-02-27,2019-04-01
