"dates","layer","pixel","year","value"
NA,"Greenup","45_43","2003",NA
NA,"Greenup","45_43","2004",NA
2005-03-24,"Greenup","45_43","2005",NA
NA,"Greenup","45_43","2006",NA
NA,"Greenup","45_43","2007",NA
NA,"Greenup","45_43","2008",NA
NA,"Greenup","45_43","2009",NA
2010-03-31,"Greenup","45_43","2010",NA
NA,"Greenup","45_43","2011",NA
NA,"Greenup","45_43","2012",NA
NA,"Greenup","45_43","2013",NA
NA,"Greenup","45_43","2014",NA
NA,"Greenup","45_43","2015",NA
NA,"Greenup","45_43","2016",NA
NA,"Greenup","45_43","2017",NA
2001-03-02,"Greenup","45_44","2001",NA
2002-03-19,"Greenup","45_44","2002",NA
NA,"Greenup","45_44","2003",NA
NA,"Greenup","45_44","2004",NA
2005-03-24,"Greenup","45_44","2005",NA
NA,"Greenup","45_44","2006",NA
NA,"Greenup","45_44","2007",NA
NA,"Greenup","45_44","2008",NA
NA,"Greenup","45_44","2009",NA
2010-03-31,"Greenup","45_44","2010",NA
NA,"Greenup","45_44","2011",NA
NA,"Greenup","45_44","2012",NA
NA,"Greenup","45_44","2013",NA
NA,"Greenup","45_44","2014",NA
NA,"Greenup","45_44","2015",NA
NA,"Greenup","45_44","2016",NA
NA,"Greenup","45_44","2017",NA
2001-03-02,"Greenup","44_42","2001",NA
2002-03-19,"Greenup","44_42","2002",NA
NA,"Greenup","44_42","2003",NA
NA,"Greenup","44_42","2004",NA
2005-03-24,"Greenup","44_42","2005",NA
NA,"Greenup","44_42","2006",NA
NA,"Greenup","44_42","2007",NA
NA,"Greenup","44_42","2008",NA
NA,"Greenup","44_42","2009",NA
2010-03-31,"Greenup","44_42","2010",NA
NA,"Greenup","44_42","2011",NA
NA,"Greenup","44_42","2012",NA
NA,"Greenup","44_42","2013",NA
NA,"Greenup","44_42","2014",NA
NA,"Greenup","44_42","2015",NA
NA,"Greenup","44_42","2016",NA
NA,"Greenup","44_42","2017",NA
2001-03-02,"Greenup","43_42","2001",NA
2002-03-19,"Greenup","43_42","2002",NA
NA,"Greenup","43_42","2003",NA
NA,"Greenup","43_42","2004",NA
2005-03-24,"Greenup","43_42","2005",NA
NA,"Greenup","43_42","2006",NA
NA,"Greenup","43_42","2007",NA
NA,"Greenup","43_42","2008",NA
NA,"Greenup","43_42","2009",NA
2010-03-31,"Greenup","43_42","2010",NA
NA,"Greenup","43_42","2011",NA
NA,"Greenup","43_42","2012",NA
NA,"Greenup","43_42","2013",NA
NA,"Greenup","43_42","2014",NA
NA,"Greenup","43_42","2015",NA
NA,"Greenup","43_42","2016",NA
NA,"Greenup","43_42","2017",NA
NA,"Greenup","45_42","2001",NA
NA,"Greenup","45_42","2002",NA
2003-03-12,"Greenup","45_42","2003",NA
NA,"Greenup","45_42","2004",NA
NA,"Greenup","45_42","2005",NA
NA,"Greenup","45_42","2006",NA
2007-03-23,"Greenup","45_42","2007",NA
NA,"Greenup","45_42","2008",NA
NA,"Greenup","45_42","2009",NA
NA,"Greenup","45_42","2010",NA
NA,"Greenup","45_42","2011",NA
NA,"Greenup","45_42","2012",NA
NA,"Greenup","45_42","2013",NA
NA,"Greenup","45_42","2014",NA
NA,"Greenup","45_42","2015",NA
2016-03-28,"Greenup","45_42","2016",NA
NA,"Greenup","45_42","2017",NA
2001-10-16,"Dormancy","44_43","2001",NA
2002-10-22,"Dormancy","44_43","2002",NA
NA,"Dormancy","44_43","2003",NA
NA,"Dormancy","44_43","2004",NA
2005-11-30,"Dormancy","44_43","2005",NA
NA,"Dormancy","44_43","2006",NA
NA,"Dormancy","44_43","2007",NA
NA,"Dormancy","44_43","2008",NA
NA,"Dormancy","44_43","2009",NA
2010-11-29,"Dormancy","44_43","2010",NA
NA,"Dormancy","44_43","2011",NA
NA,"Dormancy","44_43","2012",NA
NA,"Dormancy","44_43","2013",NA
NA,"Dormancy","44_43","2014",NA
NA,"Dormancy","44_43","2015",NA
NA,"Dormancy","44_43","2016",NA
NA,"Dormancy","44_43","2017",NA
2001-09-23,"Dormancy","44_44","2001",NA
NA,"Dormancy","44_44","2002",NA
NA,"Dormancy","44_44","2003",NA
NA,"Dormancy","44_44","2004",NA
NA,"Dormancy","44_44","2005",NA
NA,"Dormancy","44_44","2006",NA
NA,"Dormancy","44_44","2007",NA
NA,"Dormancy","44_44","2008",NA
2009-11-27,"Dormancy","44_44","2009",NA
NA,"Dormancy","44_44","2010",NA
NA,"Dormancy","44_44","2011",NA
NA,"Dormancy","44_44","2012",NA
NA,"Dormancy","44_44","2013",NA
NA,"Dormancy","44_44","2014",NA
NA,"Dormancy","44_44","2015",NA
NA,"Dormancy","44_44","2016",NA
NA,"Dormancy","44_44","2017",NA
2001-09-23,"Dormancy","43_44","2001",NA
NA,"Dormancy","43_44","2002",NA
NA,"Dormancy","43_44","2003",NA
NA,"Dormancy","43_44","2004",NA
NA,"Dormancy","43_44","2005",NA
NA,"Dormancy","43_44","2006",NA
NA,"Dormancy","43_44","2007",NA
NA,"Dormancy","43_44","2008",NA
2009-11-27,"Dormancy","43_44","2009",NA
NA,"Dormancy","43_44","2010",NA
NA,"Dormancy","43_44","2011",NA
NA,"Dormancy","43_44","2012",NA
NA,"Dormancy","43_44","2013",NA
NA,"Dormancy","43_44","2014",NA
NA,"Dormancy","43_44","2015",NA
NA,"Dormancy","43_44","2016",NA
NA,"Dormancy","43_44","2017",NA
2001-09-23,"Dormancy","43_43","2001",NA
NA,"Dormancy","43_43","2002",NA
NA,"Dormancy","43_43","2003",NA
NA,"Dormancy","43_43","2004",NA
NA,"Dormancy","43_43","2005",NA
NA,"Dormancy","43_43","2006",NA
NA,"Dormancy","43_43","2007",NA
NA,"Dormancy","43_43","2008",NA
2009-11-27,"Dormancy","43_43","2009",NA
NA,"Dormancy","43_43","2010",NA
NA,"Dormancy","43_43","2011",NA
NA,"Dormancy","43_43","2012",NA
NA,"Dormancy","43_43","2013",NA
NA,"Dormancy","43_43","2014",NA
NA,"Dormancy","43_43","2015",NA
NA,"Dormancy","43_43","2016",NA
NA,"Dormancy","43_43","2017",NA
2001-10-16,"Dormancy","45_43","2001",NA
2002-10-22,"Dormancy","45_43","2002",NA
NA,"Dormancy","45_43","2003",NA
NA,"Dormancy","45_43","2004",NA
2005-11-30,"Dormancy","45_43","2005",NA
NA,"Dormancy","45_43","2006",NA
NA,"Dormancy","45_43","2007",NA
NA,"Dormancy","45_43","2008",NA
NA,"Dormancy","45_43","2009",NA
2010-11-29,"Dormancy","45_43","2010",NA
NA,"Dormancy","45_43","2011",NA
NA,"Dormancy","45_43","2012",NA
NA,"Dormancy","45_43","2013",NA
NA,"Dormancy","45_43","2014",NA
NA,"Dormancy","45_43","2015",NA
NA,"Dormancy","45_43","2016",NA
NA,"Dormancy","45_43","2017",NA
2001-10-16,"Dormancy","45_44","2001",NA
2002-10-22,"Dormancy","45_44","2002",NA
NA,"Dormancy","45_44","2003",NA
NA,"Dormancy","45_44","2004",NA
2005-11-30,"Dormancy","45_44","2005",NA
NA,"Dormancy","45_44","2006",NA
NA,"Dormancy","45_44","2007",NA
NA,"Dormancy","45_44","2008",NA
NA,"Dormancy","45_44","2009",NA
2010-11-29,"Dormancy","45_44","2010",NA
NA,"Dormancy","45_44","2011",NA
NA,"Dormancy","45_44","2012",NA
NA,"Dormancy","45_44","2013",NA
NA,"Dormancy","45_44","2014",NA
NA,"Dormancy","45_44","2015",NA
NA,"Dormancy","45_44","2016",NA
NA,"Dormancy","45_44","2017",NA
2001-10-16,"Dormancy","44_42","2001",NA
2002-10-22,"Dormancy","44_42","2002",NA
NA,"Dormancy","44_42","2003",NA
NA,"Dormancy","44_42","2004",NA
2005-11-30,"Dormancy","44_42","2005",NA
NA,"Dormancy","44_42","2006",NA
NA,"Dormancy","44_42","2007",NA
NA,"Dormancy","44_42","2008",NA
NA,"Dormancy","44_42","2009",NA
2010-11-29,"Dormancy","44_42","2010",NA
NA,"Dormancy","44_42","2011",NA
NA,"Dormancy","44_42","2012",NA
NA,"Dormancy","44_42","2013",NA
NA,"Dormancy","44_42","2014",NA
NA,"Dormancy","44_42","2015",NA
NA,"Dormancy","44_42","2016",NA
NA,"Dormancy","44_42","2017",NA
2001-10-16,"Dormancy","43_42","2001",NA
2002-10-22,"Dormancy","43_42","2002",NA
NA,"Dormancy","43_42","2003",NA
NA,"Dormancy","43_42","2004",NA
2005-11-30,"Dormancy","43_42","2005",NA
NA,"Dormancy","43_42","2006",NA
NA,"Dormancy","43_42","2007",NA
NA,"Dormancy","43_42","2008",NA
NA,"Dormancy","43_42","2009",NA
2010-11-29,"Dormancy","43_42","2010",NA
NA,"Dormancy","43_42","2011",NA
NA,"Dormancy","43_42","2012",NA
NA,"Dormancy","43_42","2013",NA
NA,"Dormancy","43_42","2014",NA
NA,"Dormancy","43_42","2015",NA
NA,"Dormancy","43_42","2016",NA
NA,"Dormancy","43_42","2017",NA
NA,"Dormancy","45_42","2001",NA
NA,"Dormancy","45_42","2002",NA
2003-10-26,"Dormancy","45_42","2003",NA
NA,"Dormancy","45_42","2004",NA
NA,"Dormancy","45_42","2005",NA
NA,"Dormancy","45_42","2006",NA
2007-12-06,"Dormancy","45_42","2007",NA
NA,"Dormancy","45_42","2008",NA
NA,"Dormancy","45_42","2009",NA
NA,"Dormancy","45_42","2010",NA
NA,"Dormancy","45_42","2011",NA
NA,"Dormancy","45_42","2012",NA
NA,"Dormancy","45_42","2013",NA
NA,"Dormancy","45_42","2014",NA
NA,"Dormancy","45_42","2015",NA
2016-11-21,"Dormancy","45_42","2016",NA
NA,"Dormancy","45_42","2017",NA
2001-05-10,"Maturity","44_43","2001",NA
2002-05-09,"Maturity","44_43","2002",NA
NA,"Maturity","44_43","2003",NA
NA,"Maturity","44_43","2004",NA
2005-05-25,"Maturity","44_43","2005",NA
NA,"Maturity","44_43","2006",NA
NA,"Maturity","44_43","2007",NA
NA,"Maturity","44_43","2008",NA
NA,"Maturity","44_43","2009",NA
2010-06-24,"Maturity","44_43","2010",NA
NA,"Maturity","44_43","2011",NA
NA,"Maturity","44_43","2012",NA
NA,"Maturity","44_43","2013",NA
NA,"Maturity","44_43","2014",NA
NA,"Maturity","44_43","2015",NA
NA,"Maturity","44_43","2016",NA
NA,"Maturity","44_43","2017",NA
2001-05-02,"Maturity","44_44","2001",NA
NA,"Maturity","44_44","2002",NA
NA,"Maturity","44_44","2003",NA
NA,"Maturity","44_44","2004",NA
NA,"Maturity","44_44","2005",NA
NA,"Maturity","44_44","2006",NA
NA,"Maturity","44_44","2007",NA
NA,"Maturity","44_44","2008",NA
2009-06-15,"Maturity","44_44","2009",NA
NA,"Maturity","44_44","2010",NA
NA,"Maturity","44_44","2011",NA
NA,"Maturity","44_44","2012",NA
NA,"Maturity","44_44","2013",NA
NA,"Maturity","44_44","2014",NA
NA,"Maturity","44_44","2015",NA
NA,"Maturity","44_44","2016",NA
NA,"Maturity","44_44","2017",NA
2001-05-02,"Maturity","43_44","2001",NA
NA,"Maturity","43_44","2002",NA
NA,"Maturity","43_44","2003",NA
NA,"Maturity","43_44","2004",NA
NA,"Maturity","43_44","2005",NA
NA,"Maturity","43_44","2006",NA
NA,"Maturity","43_44","2007",NA
NA,"Maturity","43_44","2008",NA
2009-06-15,"Maturity","43_44","2009",NA
NA,"Maturity","43_44","2010",NA
NA,"Maturity","43_44","2011",NA
NA,"Maturity","43_44","2012",NA
NA,"Maturity","43_44","2013",NA
NA,"Maturity","43_44","2014",NA
NA,"Maturity","43_44","2015",NA
NA,"Maturity","43_44","2016",NA
NA,"Maturity","43_44","2017",NA
2001-05-02,"Maturity","43_43","2001",NA
NA,"Maturity","43_43","2002",NA
NA,"Maturity","43_43","2003",NA
NA,"Maturity","43_43","2004",NA
NA,"Maturity","43_43","2005",NA
NA,"Maturity","43_43","2006",NA
NA,"Maturity","43_43","2007",NA
NA,"Maturity","43_43","2008",NA
2009-06-15,"Maturity","43_43","2009",NA
NA,"Maturity","43_43","2010",NA
NA,"Maturity","43_43","2011",NA
NA,"Maturity","43_43","2012",NA
NA,"Maturity","43_43","2013",NA
NA,"Maturity","43_43","2014",NA
NA,"Maturity","43_43","2015",NA
NA,"Maturity","43_43","2016",NA
NA,"Maturity","43_43","2017",NA
2001-05-10,"Maturity","45_43","2001",NA
2002-05-09,"Maturity","45_43","2002",NA
NA,"Maturity","45_43","2003",NA
NA,"Maturity","45_43","2004",NA
2005-05-25,"Maturity","45_43","2005",NA
NA,"Maturity","45_43","2006",NA
NA,"Maturity","45_43","2007",NA
NA,"Maturity","45_43","2008",NA
NA,"Maturity","45_43","2009",NA
2010-06-24,"Maturity","45_43","2010",NA
NA,"Maturity","45_43","2011",NA
NA,"Maturity","45_43","2012",NA
NA,"Maturity","45_43","2013",NA
NA,"Maturity","45_43","2014",NA
NA,"Maturity","45_43","2015",NA
NA,"Maturity","45_43","2016",NA
NA,"Maturity","45_43","2017",NA
2001-05-10,"Maturity","45_44","2001",NA
2002-05-09,"Maturity","45_44","2002",NA
NA,"Maturity","45_44","2003",NA
NA,"Maturity","45_44","2004",NA
2005-05-25,"Maturity","45_44","2005",NA
NA,"Maturity","45_44","2006",NA
NA,"Maturity","45_44","2007",NA
NA,"Maturity","45_44","2008",NA
NA,"Maturity","45_44","2009",NA
2010-06-24,"Maturity","45_44","2010",NA
NA,"Maturity","45_44","2011",NA
NA,"Maturity","45_44","2012",NA
NA,"Maturity","45_44","2013",NA
NA,"Maturity","45_44","2014",NA
NA,"Maturity","45_44","2015",NA
NA,"Maturity","45_44","2016",NA
NA,"Maturity","45_44","2017",NA
2001-05-10,"Maturity","44_42","2001",NA
2002-05-09,"Maturity","44_42","2002",NA
NA,"Maturity","44_42","2003",NA
NA,"Maturity","44_42","2004",NA
2005-05-25,"Maturity","44_42","2005",NA
NA,"Maturity","44_42","2006",NA
NA,"Maturity","44_42","2007",NA
NA,"Maturity","44_42","2008",NA
NA,"Maturity","44_42","2009",NA
2010-06-24,"Maturity","44_42","2010",NA
NA,"Maturity","44_42","2011",NA
NA,"Maturity","44_42","2012",NA
NA,"Maturity","44_42","2013",NA
NA,"Maturity","44_42","2014",NA
NA,"Maturity","44_42","2015",NA
NA,"Maturity","44_42","2016",NA
NA,"Maturity","44_42","2017",NA
2001-05-10,"Maturity","43_42","2001",NA
2002-05-09,"Maturity","43_42","2002",NA
NA,"Maturity","43_42","2003",NA
NA,"Maturity","43_42","2004",NA
2005-05-25,"Maturity","43_42","2005",NA
NA,"Maturity","43_42","2006",NA
NA,"Maturity","43_42","2007",NA
NA,"Maturity","43_42","2008",NA
NA,"Maturity","43_42","2009",NA
2010-06-24,"Maturity","43_42","2010",NA
NA,"Maturity","43_42","2011",NA
NA,"Maturity","43_42","2012",NA
NA,"Maturity","43_42","2013",NA
NA,"Maturity","43_42","2014",NA
NA,"Maturity","43_42","2015",NA
NA,"Maturity","43_42","2016",NA
NA,"Maturity","43_42","2017",NA
NA,"Maturity","45_42","2001",NA
NA,"Maturity","45_42","2002",NA
2003-05-09,"Maturity","45_42","2003",NA
NA,"Maturity","45_42","2004",NA
NA,"Maturity","45_42","2005",NA
NA,"Maturity","45_42","2006",NA
2007-08-09,"Maturity","45_42","2007",NA
NA,"Maturity","45_42","2008",NA
NA,"Maturity","45_42","2009",NA
NA,"Maturity","45_42","2010",NA
NA,"Maturity","45_42","2011",NA
NA,"Maturity","45_42","2012",NA
NA,"Maturity","45_42","2013",NA
NA,"Maturity","45_42","2014",NA
NA,"Maturity","45_42","2015",NA
2016-06-29,"Maturity","45_42","2016",NA
NA,"Maturity","45_42","2017",NA
2001-08-26,"MidGreendown","44_43","2001",NA
2002-08-20,"MidGreendown","44_43","2002",NA
NA,"MidGreendown","44_43","2003",NA
NA,"MidGreendown","44_43","2004",NA
2005-10-03,"MidGreendown","44_43","2005",NA
NA,"MidGreendown","44_43","2006",NA
NA,"MidGreendown","44_43","2007",NA
NA,"MidGreendown","44_43","2008",NA
NA,"MidGreendown","44_43","2009",NA
2010-09-17,"MidGreendown","44_43","2010",NA
NA,"MidGreendown","44_43","2011",NA
NA,"MidGreendown","44_43","2012",NA
NA,"MidGreendown","44_43","2013",NA
NA,"MidGreendown","44_43","2014",NA
NA,"MidGreendown","44_43","2015",NA
NA,"MidGreendown","44_43","2016",NA
NA,"MidGreendown","44_43","2017",NA
2001-09-06,"MidGreendown","44_44","2001",NA
NA,"MidGreendown","44_44","2002",NA
NA,"MidGreendown","44_44","2003",NA
NA,"MidGreendown","44_44","2004",NA
NA,"MidGreendown","44_44","2005",NA
NA,"MidGreendown","44_44","2006",NA
NA,"MidGreendown","44_44","2007",NA
NA,"MidGreendown","44_44","2008",NA
2009-09-19,"MidGreendown","44_44","2009",NA
NA,"MidGreendown","44_44","2010",NA
NA,"MidGreendown","44_44","2011",NA
NA,"MidGreendown","44_44","2012",NA
NA,"MidGreendown","44_44","2013",NA
NA,"MidGreendown","44_44","2014",NA
NA,"MidGreendown","44_44","2015",NA
NA,"MidGreendown","44_44","2016",NA
NA,"MidGreendown","44_44","2017",NA
2001-09-06,"MidGreendown","43_44","2001",NA
NA,"MidGreendown","43_44","2002",NA
NA,"MidGreendown","43_44","2003",NA
NA,"MidGreendown","43_44","2004",NA
NA,"MidGreendown","43_44","2005",NA
NA,"MidGreendown","43_44","2006",NA
NA,"MidGreendown","43_44","2007",NA
NA,"MidGreendown","43_44","2008",NA
2009-09-19,"MidGreendown","43_44","2009",NA
NA,"MidGreendown","43_44","2010",NA
NA,"MidGreendown","43_44","2011",NA
NA,"MidGreendown","43_44","2012",NA
NA,"MidGreendown","43_44","2013",NA
NA,"MidGreendown","43_44","2014",NA
NA,"MidGreendown","43_44","2015",NA
NA,"MidGreendown","43_44","2016",NA
NA,"MidGreendown","43_44","2017",NA
2001-09-06,"MidGreendown","43_43","2001",NA
NA,"MidGreendown","43_43","2002",NA
NA,"MidGreendown","43_43","2003",NA
NA,"MidGreendown","43_43","2004",NA
NA,"MidGreendown","43_43","2005",NA
NA,"MidGreendown","43_43","2006",NA
NA,"MidGreendown","43_43","2007",NA
NA,"MidGreendown","43_43","2008",NA
2009-09-19,"MidGreendown","43_43","2009",NA
NA,"MidGreendown","43_43","2010",NA
NA,"MidGreendown","43_43","2011",NA
NA,"MidGreendown","43_43","2012",NA
NA,"MidGreendown","43_43","2013",NA
NA,"MidGreendown","43_43","2014",NA
NA,"MidGreendown","43_43","2015",NA
NA,"MidGreendown","43_43","2016",NA
NA,"MidGreendown","43_43","2017",NA
2001-08-26,"MidGreendown","45_43","2001",NA
2002-08-20,"MidGreendown","45_43","2002",NA
NA,"MidGreendown","45_43","2003",NA
NA,"MidGreendown","45_43","2004",NA
2005-10-03,"MidGreendown","45_43","2005",NA
NA,"MidGreendown","45_43","2006",NA
NA,"MidGreendown","45_43","2007",NA
NA,"MidGreendown","45_43","2008",NA
NA,"MidGreendown","45_43","2009",NA
2010-09-17,"MidGreendown","45_43","2010",NA
NA,"MidGreendown","45_43","2011",NA
NA,"MidGreendown","45_43","2012",NA
NA,"MidGreendown","45_43","2013",NA
NA,"MidGreendown","45_43","2014",NA
NA,"MidGreendown","45_43","2015",NA
NA,"MidGreendown","45_43","2016",NA
NA,"MidGreendown","45_43","2017",NA
2001-08-26,"MidGreendown","45_44","2001",NA
2002-08-20,"MidGreendown","45_44","2002",NA
NA,"MidGreendown","45_44","2003",NA
NA,"MidGreendown","45_44","2004",NA
2005-10-03,"MidGreendown","45_44","2005",NA
NA,"MidGreendown","45_44","2006",NA
NA,"MidGreendown","45_44","2007",NA
NA,"MidGreendown","45_44","2008",NA
NA,"MidGreendown","45_44","2009",NA
2010-09-17,"MidGreendown","45_44","2010",NA
NA,"MidGreendown","45_44","2011",NA
NA,"MidGreendown","45_44","2012",NA
NA,"MidGreendown","45_44","2013",NA
NA,"MidGreendown","45_44","2014",NA
NA,"MidGreendown","45_44","2015",NA
NA,"MidGreendown","45_44","2016",NA
NA,"MidGreendown","45_44","2017",NA
2001-08-26,"MidGreendown","44_42","2001",NA
2002-08-20,"MidGreendown","44_42","2002",NA
NA,"MidGreendown","44_42","2003",NA
NA,"MidGreendown","44_42","2004",NA
2005-10-03,"MidGreendown","44_42","2005",NA
NA,"MidGreendown","44_42","2006",NA
NA,"MidGreendown","44_42","2007",NA
NA,"MidGreendown","44_42","2008",NA
NA,"MidGreendown","44_42","2009",NA
2010-09-17,"MidGreendown","44_42","2010",NA
NA,"MidGreendown","44_42","2011",NA
NA,"MidGreendown","44_42","2012",NA
NA,"MidGreendown","44_42","2013",NA
NA,"MidGreendown","44_42","2014",NA
NA,"MidGreendown","44_42","2015",NA
NA,"MidGreendown","44_42","2016",NA
NA,"MidGreendown","44_42","2017",NA
2001-08-26,"MidGreendown","43_42","2001",NA
2002-08-20,"MidGreendown","43_42","2002",NA
NA,"MidGreendown","43_42","2003",NA
NA,"MidGreendown","43_42","2004",NA
2005-10-03,"MidGreendown","43_42","2005",NA
NA,"MidGreendown","43_42","2006",NA
NA,"MidGreendown","43_42","2007",NA
NA,"MidGreendown","43_42","2008",NA
NA,"MidGreendown","43_42","2009",NA
2010-09-17,"MidGreendown","43_42","2010",NA
NA,"MidGreendown","43_42","2011",NA
NA,"MidGreendown","43_42","2012",NA
NA,"MidGreendown","43_42","2013",NA
NA,"MidGreendown","43_42","2014",NA
NA,"MidGreendown","43_42","2015",NA
NA,"MidGreendown","43_42","2016",NA
NA,"MidGreendown","43_42","2017",NA
NA,"MidGreendown","45_42","2001",NA
NA,"MidGreendown","45_42","2002",NA
2003-10-02,"MidGreendown","45_42","2003",NA
NA,"MidGreendown","45_42","2004",NA
NA,"MidGreendown","45_42","2005",NA
NA,"MidGreendown","45_42","2006",NA
2007-09-25,"MidGreendown","45_42","2007",NA
NA,"MidGreendown","45_42","2008",NA
NA,"MidGreendown","45_42","2009",NA
NA,"MidGreendown","45_42","2010",NA
NA,"MidGreendown","45_42","2011",NA
NA,"MidGreendown","45_42","2012",NA
NA,"MidGreendown","45_42","2013",NA
NA,"MidGreendown","45_42","2014",NA
NA,"MidGreendown","45_42","2015",NA
2016-10-17,"MidGreendown","45_42","2016",NA
NA,"MidGreendown","45_42","2017",NA
2001-03-24,"MidGreenup","44_43","2001",NA
2002-04-06,"MidGreenup","44_43","2002",NA
NA,"MidGreenup","44_43","2003",NA
NA,"MidGreenup","44_43","2004",NA
2005-04-15,"MidGreenup","44_43","2005",NA
NA,"MidGreenup","44_43","2006",NA
NA,"MidGreenup","44_43","2007",NA
NA,"MidGreenup","44_43","2008",NA
NA,"MidGreenup","44_43","2009",NA
2010-04-19,"MidGreenup","44_43","2010",NA
NA,"MidGreenup","44_43","2011",NA
NA,"MidGreenup","44_43","2012",NA
NA,"MidGreenup","44_43","2013",NA
NA,"MidGreenup","44_43","2014",NA
NA,"MidGreenup","44_43","2015",NA
NA,"MidGreenup","44_43","2016",NA
NA,"MidGreenup","44_43","2017",NA
2001-03-19,"MidGreenup","44_44","2001",NA
NA,"MidGreenup","44_44","2002",NA
NA,"MidGreenup","44_44","2003",NA
NA,"MidGreenup","44_44","2004",NA
NA,"MidGreenup","44_44","2005",NA
NA,"MidGreenup","44_44","2006",NA
NA,"MidGreenup","44_44","2007",NA
NA,"MidGreenup","44_44","2008",NA
2009-04-12,"MidGreenup","44_44","2009",NA
NA,"MidGreenup","44_44","2010",NA
NA,"MidGreenup","44_44","2011",NA
NA,"MidGreenup","44_44","2012",NA
NA,"MidGreenup","44_44","2013",NA
NA,"MidGreenup","44_44","2014",NA
NA,"MidGreenup","44_44","2015",NA
NA,"MidGreenup","44_44","2016",NA
NA,"MidGreenup","44_44","2017",NA
2001-03-19,"MidGreenup","43_44","2001",NA
NA,"MidGreenup","43_44","2002",NA
NA,"MidGreenup","43_44","2003",NA
NA,"MidGreenup","43_44","2004",NA
NA,"MidGreenup","43_44","2005",NA
NA,"MidGreenup","43_44","2006",NA
NA,"MidGreenup","43_44","2007",NA
NA,"MidGreenup","43_44","2008",NA
2009-04-12,"MidGreenup","43_44","2009",NA
NA,"MidGreenup","43_44","2010",NA
NA,"MidGreenup","43_44","2011",NA
NA,"MidGreenup","43_44","2012",NA
NA,"MidGreenup","43_44","2013",NA
NA,"MidGreenup","43_44","2014",NA
NA,"MidGreenup","43_44","2015",NA
NA,"MidGreenup","43_44","2016",NA
NA,"MidGreenup","43_44","2017",NA
2001-03-19,"MidGreenup","43_43","2001",NA
NA,"MidGreenup","43_43","2002",NA
NA,"MidGreenup","43_43","2003",NA
NA,"MidGreenup","43_43","2004",NA
NA,"MidGreenup","43_43","2005",NA
NA,"MidGreenup","43_43","2006",NA
NA,"MidGreenup","43_43","2007",NA
NA,"MidGreenup","43_43","2008",NA
2009-04-12,"MidGreenup","43_43","2009",NA
NA,"MidGreenup","43_43","2010",NA
NA,"MidGreenup","43_43","2011",NA
NA,"MidGreenup","43_43","2012",NA
NA,"MidGreenup","43_43","2013",NA
NA,"MidGreenup","43_43","2014",NA
